platform,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,joy,love,nervousness,neutral,optimism,pride,realization,remorse,sadness,surprise
FB,8.53,6.8,0.59,2.2,2.04,1.0,1.46,6.19,1.17,1.69,1.8,0.45,0.11,1.43,0.4,2.31,3.04,2.91,0.03,51.87,1.14,0.02,0.4,0.3,1.14,0.97
INSTA,5.99,3.52,1.1,1.5,2.03,0.47,1.48,5.46,0.81,0.58,1.4,0.35,0.07,1.41,0.57,2.17,3.26,2.6,0.09,61.77,0.6,0.01,0.3,0.13,1.34,0.98
TK,5.33,3.92,1.0,1.25,1.78,0.29,1.64,5.32,1.47,0.81,1.65,0.22,0.01,0.83,0.61,1.12,3.08,1.93,0.12,62.91,0.36,0.04,0.6,0.28,2.36,1.06
YT,7.59,4.08,1.17,1.75,2.14,0.49,2.4,5.43,0.59,0.91,1.74,0.38,0.08,0.79,0.54,1.21,3.33,2.42,0.05,58.96,0.42,0.0,0.97,0.21,1.0,1.35
